image_page,level,chinese,english,code,confidence,malignant_primary,malignant_secondary,in_situ,benign,uncertain_or_unspecified
41,3,见于,in,,0.9820334911346436,,,,,
41,4,多形性腺瘤(M8941/3)-见肿瘤，涎腺，恶性,"pleomorphic adenoma (M8941/3) - see Neoplasm, salivary gland, malignant",,0.9653524160385132,,,,,
41,4,绒毛状腺瘤(M8261/3),villous adenoma (M8261/3),,0.955022931098938,,,,,
41,4,息肉(M8210/3),polyp (M8210/3),,0.9478545188903809,,,,,
41,4,息肉样腺瘤(M8210/3),polypoid adenoma (M8210/3),,0.9781814813613892,,,,,
41,4,腺瘤样,adenomatous,,0.9528303146362305,,,,,
41,5,结肠息肉病(M8220/3),polyposis coli (M8220/3),C18.9,0.9718658328056335,,,,,
41,5,息肉(M8210/3),polyp (M8210/3),,0.942602813243866,,,,,
41,4,小管性腺瘤(M8210/3),tubular adenoma (M8210/3),,0.9673371911048889,,,,,
41,4,原位(M8010/2)-见原位癌,situ (M8010/2) - see Carcinoma in situ,,0.9699372053146362,,,,,
41,3,浆液性(M8441/3),serous (M8441/3),,0.9936719536781311,,,,,
41,4,表面，乳头状(M8461/3),"surface, papillary (M8461/3)",,0.9721722602844238,,,,,
41,5,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9620644450187683,,,,,
41,5,未特指部位,unspecified site,C56,0.9388711452484131,,,,,
41,4,乳头状(M8460/3),papillary (M8460/3),,0.9791421890258789,,,,,
41,5,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9615830779075623,,,,,
41,5,未特指部位,unspecified site,C56,0.977962076663971,,,,,
41,3,胶样，胶状(M8480/3),"colloid, gelatinous (M8480/3)",,0.9954321384429932,,,,,
41,3,浸润性,infiltrating,,0.9528805613517761,,,,,
41,4,导管(M8500/3),duct (M8500/3),,0.9726790189743042,,,,,
41,5,伴有佩吉特病[乳腺导管内癌](M8541/3)-见肿瘤，乳房，恶性,"with Paget's disease (M8541/3) - see Neoplasm, breast, malignant",,0.9761308431625366,,,,,
